;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
233;pin_5226;101119;193.186.025;3.994.447.615;1.165.423.511;-8.371.499.131;-13.071.842;-61.058.145;Non Bawang Putih
234;pin_6530;101119;75.5;51.5;1.165.319.098;-8.372.833.155;-37.384.684;29.741.795;Non Bawang Putih
235;pin_5845;101119;203.5;198.5;1.165.436.889;-8.385.521.922;-129.058;0.6339929;Non Bawang Putih
236;pin_6780;101119;134.5;35.5;1.165.371.175;-8.371.259.916;-15.161.786;-8.377.427;Non Bawang Putih
238;pin_7873;101119;95.5;67.5;1.165.337.318;-8.374.198.329;-15.973.103;-11.376.388;Non Bawang Putih
240;pin_5009;101119;1.951.860.243;5.194.447.588;1.165.425.609;-8.372.557.212;-14.632.817;-8.656.301;Non Bawang Putih
243;pin_6606;101119;69.5;62.5;116.531.405;-8.373.823.734;-49.899.616;42.964.315;Non Bawang Putih
245;pin_7418;101119;74.5;178.5;1.165.321.569;-8.384.090.018;-57.242.165;-11.094.137;Non Bawang Putih
246;pin_4751;101119;1.801.860.328;4.294.447.703;1.165.412.023;-8.371.799.229;-16.411.018;-9.329.158;Non Bawang Putih
247;pin_7958;101119;97.5;70.5;1.165.339.177;-8.374.458.906;-14.545.754;-8.288.176;Non Bawang Putih
248;pin_6855;101119;41.5;234.5;1.165.293.686;-8.389.139.571;-73.967.338;1.025.801;Non Bawang Putih
249;pin_4683;101119;1.881.860.272;1.494.447.675;1.165.418.401;-8.369.296.986;-15.140.987;-11.130.209;Non Bawang Putih
250;pin_7786;101119;92.5;64.5;1.165.334.569;-8.373.940.385;-15.692.597;-11.714.986;Non Bawang Putih
252;pin_7037;101119;135.5;173.5;1.165.375.717;-838.348.605;-10.925.851;-17.189.257;Non Bawang Putih
254;pin_6316;101119;124.5;123.5;1.165.364.605;-8.379.084.342;-15.593.682;-8.789.613;Non Bawang Putih
255;pin_5180;101119;2.061.860.178;529.444.751;1.165.435.423;-8.372.616.829;-13.800.877;-8.090.295;Non Bawang Putih
259;pin_8108;101119;96.5;82.5;1.165.338.604;-8.375.524.925;-15.509.907;-8.663.625;Non Bawang Putih
260;pin_6280;101119;169.5;184.5;1.165.406.263;-838.437.109;-13.301.317;-45.304.723;Non Bawang Putih
262;pin_7710;101119;126.5;50.5;1.165.364.453;-8.372.610.208;-15.179.204;-929.539;Non Bawang Putih
264;pin_8247;101119;100.5;101.5;1.165.342.667;-8.377.198.076;-13.867.218;-8.003.926;Non Bawang Putih
265;pin_7924;101119;91.5;69.5;1.165.333.811;-8.374.386.097;-16.116.224;-1.082.474;Non Bawang Putih
267;pin_4491;101119;1.781.860.336;2.894.447.731;1.165.409.873;-8.370.563.916;-13.235.099;-10.811.517;Non Bawang Putih
268;pin_6473;101119;131.5;6.5;1.165.367.738;-8.368.697.998;-48.167.577;298.318;Non Bawang Putih
270;pin_4230;101119;1.741.860.356;1.994.447.768;1.165.406.076;-8.369.776.935;-14.846.791;-822.996;Non Bawang Putih
271;pin_5151;101119;1.861.860.298;5.694.447.646;1.165.417.733;-8.373.023.998;-16.444.895;-8.360.137;Non Bawang Putih
273;pin_4250;101119;187.186.028;2.094.447.676;116.541.767;-8.369.831.298;-15.606.365;-8.105.704;Non Bawang Putih
274;pin_5944;101119;214.5;190.5;1.165.446.465;-8.384.783.984;-9.125.245;15.354.388;Non Bawang Putih
275;pin_5757;101119;222.5;226.5;1.165.454.538;-8.387.952.883;-7.933.707;-13.010.837;Non Bawang Putih
279;pin_5541;101119;199.5;226.5;1.165.434.072;-8.388.013.627;-5.606.711;-15.305.182;Non Bawang Putih
281;pin_6721;101119;40.5;230.5;116.529.269;-8.388.787.742;-74.047.046;-0.548684;Non Bawang Putih
282;pin_7840;101119;91.5;66.5;1.165.333.732;-837.412.025;-15.478.608;-10.262.285;Non Bawang Putih
289;pin_4865;101119;1.821.860.318;4.694.447.685;1.165.413.909;-8.372.148.411;-16.167.187;-7.511.229;Non Bawang Putih
290;pin_4482;101119;1.921.860.252;2.794.447.634;1.165.422.304;-8.370.438.413;-16.333.622;-8.200.066;Non Bawang Putih
296;pin_7220;101119;155.5;179.5;1.165.393.673;-8.383.964.966;-10.152.527;57.923.355;Non Bawang Putih
297;pin_5075;101119;2.031.860.196;539.444.753;116.543.278;-837.271.335;-1.147.118;-9.554.161;Non Bawang Putih
300;pin_6668;101119;46.5;228.5;1.165.297.977;-8.388.594.681;-70.703.363;-12.147.439;Non Bawang Putih
301;pin_6617;101119;70.5;63.5;1.165.314.966;-8.373.909.716;-38.211.942;5.351.625;Non Bawang Putih
302;pin_4716;101119;1.921.860.257;419.444.762;1.165.422.675;-8.371.678.992;-13.072.884;-8.443.056;Non Bawang Putih
305;pin_4864;101119;1.831.860.312;4.694.447.678;1.165.414.799;-8.372.145.775;-163.455;-78.364.453;Non Bawang Putih
306;pin_4304;101119;1.831.860.304;2.294.447.702;1.165.414.164;-8.370.019.063;-15.649.476;-9.638.104;Non Bawang Putih
309;pin_6050;101119;230.5;177.5;1.165.460.357;-8.383.589.791;-11.119.399;-0.6927597;Non Bawang Putih
311;pin_5464;101119;212.5;231.5;1.165.445.772;-8.388.422.355;-69.060.516;-1.558.617;Non Bawang Putih
313;pin_4495;101119;1.821.860.312;2.894.447.703;1.165.413.433;-8.370.553.376;-13.183.545;-8.378.622;Non Bawang Putih
315;pin_8009;101119;107.5;78.5;1.165.348.287;-8.375.141.481;-13.758.587;-9.243.844;Non Bawang Putih
316;pin_6870;101119;53.5;234.5;1.165.304.365;-8.389.107.913;-7.942.707;0.7758033;Non Bawang Putih
317;pin_6538;101119;73.5;52.5;1.165.317.345;-8.372.927.038;-68.517.137;0.6025173;Non Bawang Putih
318;pin_6863;101119;47.5;234.5;1.165.299.025;-8.389.123.742;-74.832.063;0.49958748;Non Bawang Putih
320;pin_4490;101119;1.771.860.342;2.894.447.738;1.165.408.984;-837.056.655;-13.706.314;-10.678.126;Non Bawang Putih
321;pin_7861;101119;84.5;67.5;116.532.753;-8.374.227.305;-14.345.894;-1.010.046;Non Bawang Putih
324;pin_5550;101119;212.5;223.5;116.544.556;-8.387.713.459;-9.886.228;-3.179.195;Non Bawang Putih
326;pin_4297;101119;1.891.860.268;229.444.766;1.165.419.502;-8.370.003.254;-15.747.262;-10.361.151;Non Bawang Putih
327;pin_8394;101119;108.5;106.5;1.165.349.918;-8.377.620.068;-152.231;-9.254.243;Non Bawang Putih
328;pin_6542;101119;77.5;52.5;1.165.320.904;-8.372.916.504;-5.617.664;20.010.629;Non Bawang Putih
329;pin_5172;101119;2.051.860.184;5.494.447.515;1.165.434.586;-837.279.669;-13.371.957;-8.708.731;Non Bawang Putih
332;pin_8377;101119;118.5;105.5;1.165.358.789;-8.377.505.095;-157.642.145;-68.802.037;Non Bawang Putih
340;pin_4994;101119;1.801.860.331;5.194.447.693;1.165.412.262;-8.372.596.747;-1.515.711;-77.554.703;Non Bawang Putih
345;pin_4741;101119;1.901.860.269;4.294.447.633;1.165.420.921;-8.371.772.876;-16.183.098;-6.778.386;Non Bawang Putih
347;pin_6459;101119;137.5;5.5;1.165.373.051;-8.368.593.584;-99.215.555;10.071.399;Non Bawang Putih
348;pin_4511;101119;1.731.860.366;2.994.447.765;1.165.405.451;-8.370.665.703;-14.935.787;-10.580.227;Non Bawang Putih
349;pin_7944;101119;85.5;70.5;1.165.328.499;-8.374.490.518;-15.325.213;-7.675.849;Non Bawang Putih
350;pin_5964;101119;228.5;184.5;1.165.458.763;-8.384.215.352;-10.327.725;-716.252;Non Bawang Putih
352;pin_7547;101119;128.5;44.5;1.165.366.074;-8.372.073.251;-14.065.903;-8.745.314;Non Bawang Putih
354;pin_7176;101119;133.5;179.5;1.165.374.097;-8.384.023.012;-7.094.216;0.34681398;Non Bawang Putih
355;pin_8286;101119;111.5;102.5;1.165.352.481;-8.377.257.701;-13.180.656;-10.100.991;Non Bawang Putih
358;pin_5595;101119;216.5;220.5;116.544.904;-8.387.437.059;-77.976.627;-20.698.829;Non Bawang Putih
362;pin_6449;101119;128.5;5.5;1.165.365.042;-8.368.617.284;-3.835.146;4.964.671;Non Bawang Putih
364;pin_4880;101119;1.821.860.318;4.794.447.684;1.165.413.935;-8.372.237.024;-16.167.185;-7.309.584;Non Bawang Putih
366;pin_7875;101119;97.5;67.5;1.165.339.097;-837.419.306;-15.077.258;-9.414.132;Non Bawang Putih
368;pin_5085;101119;1.941.860.249;5.494.447.592;1.165.424.798;-8.372.825.686;-14.330.094;-79.622.803;Non Bawang Putih
369;pin_8175;101119;107.5;84.5;1.165.348.446;-8.375.673.172;-15.096.121;-9.637.339;Non Bawang Putih
372;pin_5536;101119;205.5;226.5;1.165.439.411;-8.387.997.782;-9.890.848;-0.6180079;Non Bawang Putih
373;pin_7528;101119;64.5;183.5;1.165.312.803;-8.384.559.468;-76.467.547;-31.251.483;Non Bawang Putih
374;pin_5348;101119;241.5;7.5;1.165.465.642;-8.368.496.831;-17.452.848;-79.938.226;Non Bawang Putih
375;pin_4737;101119;1.941.860.245;4.294.447.605;1.165.424.481;-8.371.762.334;-14.184.381;-8.033.033;Non Bawang Putih
377;pin_4550;101119;1.841.860.301;3.094.447.687;1.165.415.265;-8.370.725.332;-16.581.284;-11.276.248;Non Bawang Putih
379;pin_5953;101119;223.5;190.5;1.165.454.473;-8.384.760.223;-6.649.362;-26.472.707;Non Bawang Putih
381;pin_6892;101119;141.5;166.5;1.165.380.871;-8.382.849.923;-101.707.945;-34.844.537;Non Bawang Putih
383;pin_8161;101119;119.5;83.5;1.165.359.097;-8.375.552.935;-16.047.544;-9.186.815;Non Bawang Putih
384;pin_5740;101119;216.5;226.5;1.165.449.199;-838.796.873;-8.641.195;-2.592.049;Non Bawang Putih
385;pin_5088;101119;1.911.860.267;5.494.447.613;1.165.422.129;-8.372.833.593;-14.904.958;-9.634.542;Non Bawang Putih
386;pin_6270;101119;169.5;183.5;1.165.406.237;-8.384.282.476;-10.978.453;-19.877.121;Non Bawang Putih
387;pin_6992;101119;148.5;170.5;1.165.387.206;-8.383.185.912;-11.522.667;-24.259.264;Non Bawang Putih
388;pin_7025;101119;141.5;172.5;116.538.103;-8.383.381.608;-11.170.204;-16.727.103;Non Bawang Putih
392;pin_6460;101119;138.5;5.5;116.537.394;-8.368.590.951;-10.153.642;0.04138079;Non Bawang Putih
394;pin_8047;101119;116.5;79.5;1.165.356.322;-8.375.206.382;-1.722.127;-12.218.148;Non Bawang Putih
395;pin_5708;101119;230.5;222.5;116.546.155;-8.387.577.307;-11.878.888;-58.841.095;Non Bawang Putih
400;pin_7660;101119;130.5;48.5;1.165.367.959;-8.372.422.441;-1.481.644;-8.045.654;Non Bawang Putih
402;pin_6494;101119;128.5;8.5;1.165.365.122;-8.368.883.127;-68.561.034;-12.442.422;Non Bawang Putih
403;pin_4475;101119;1.861.860.288;2.794.447.676;1.165.416.965;-8.370.454.223;-14.686.586;-10.566.965;Non Bawang Putih
409;pin_6566;101119;77.5;55.5;1.165.320.983;-8.373.182.352;-789.704;-15.480.394;Non Bawang Putih
411;pin_4320;101119;1.681.860.393;2.294.447.807;1.165.400.817;-8.370.058.582;-15.391.762;-10.741.372;Non Bawang Putih
