,VH,VV,Class
423,-10.921842999999999,-2.256415,Non Bawang Putih
424,-15.875163,-12.27622,Non Bawang Putih
425,-15.142394,-10.377294000000001,Bawang Putih
426,-7.834421000000001,-2.8102652999999997,Non Bawang Putih
427,-12.2317505,-7.966892999999999,Bawang Putih
428,-15.806948,-10.854622,Bawang Putih
429,-12.558043,-7.429225,Bawang Putih
430,-10.800561,-2.2831638,Non Bawang Putih
431,-13.4025345,-4.274332,Bawang Putih
432,-13.615442000000002,-8.400818,Bawang Putih
433,-13.655673,-8.591931,Non Bawang Putih
434,-16.616827,-9.089815,Bawang Putih
435,-14.161241,-7.9433546,Bawang Putih
436,-11.744144,-7.5087852,Bawang Putih
437,-14.445248999999999,-8.864491000000001,Non Bawang Putih
438,-7.0676117,-0.49236610000000003,Non Bawang Putih
439,-16.086796,-8.621138,Non Bawang Putih
440,-13.582123000000001,-6.829944599999999,Bawang Putih
441,-13.804479999999998,-9.927871000000001,Non Bawang Putih
442,-13.173676,-7.058038000000001,Bawang Putih
443,-15.538679,-10.338107,Bawang Putih
444,-15.364574,-8.209533,Non Bawang Putih
445,-15.226614000000001,-10.271633,Non Bawang Putih
446,-13.494753,-9.208444,Bawang Putih
447,-17.380522,-7.141395599999999,Bawang Putih
448,-14.834208499999999,-9.183891000000001,Bawang Putih
449,-11.64713,-7.07705,Bawang Putih
450,-6.907201299999999,-3.5369617999999994,Non Bawang Putih
451,-3.150626,1.0295088,Non Bawang Putih
452,-15.310264000000002,-8.091455,Bawang Putih
453,-10.076184,-2.0852180000000002,Non Bawang Putih
454,-14.579429999999999,-5.9402094000000005,Bawang Putih
455,-16.536444,-9.383242,Bawang Putih
456,-11.81458,-5.4582205,Bawang Putih
457,-10.53322,-6.4469585,Bawang Putih
458,-9.439439,-7.669414,Bawang Putih
459,-7.906173,-0.28921083,Non Bawang Putih
460,-14.319175,-8.522457000000001,Bawang Putih
461,-12.901497,-8.789257000000001,Non Bawang Putih
462,-10.473028,-6.371642,Non Bawang Putih
463,-13.74115,-9.372933999999999,Bawang Putih
464,-13.956953,-7.4524384,Non Bawang Putih
465,-14.697981,-10.399806,Bawang Putih
466,-13.595754000000001,-10.717898,Non Bawang Putih
467,-15.177438,-8.9853,Bawang Putih
468,-14.270779000000001,-8.617124,Non Bawang Putih
469,-16.603226,-7.175614,Bawang Putih
470,-14.142647,-8.020891,Bawang Putih
471,-10.995637,-7.7988663,Bawang Putih
472,-14.357470000000001,-9.350611,Bawang Putih
473,-16.073397,-9.456384,Bawang Putih
474,-16.403543,-9.884314,Bawang Putih
475,-14.497682999999999,-9.164016,Bawang Putih
476,-15.556902,-7.3329377000000004,Non Bawang Putih
477,-10.966095,-2.6455697999999996,Non Bawang Putih
478,-13.616372,-8.804608,Non Bawang Putih
