,VH,VV,VV-VH,VV/VH,(VV+VH)/2,Class
59,-17.658708999999995,-7.37755,10.281158999999995,0.41778535452393506,-12.518129499999997,Non Bawang Putih
60,-12.955357,-7.777703,5.1776539999999995,0.6003464821540618,-10.36653,Bawang Putih
61,-15.424406,-9.695599,5.728807,0.6285881608666162,-12.5600025,Non Bawang Putih
62,-12.665453,-2.9956944,9.6697586,0.23652485228913647,-7.8305736999999995,Non Bawang Putih
63,-12.984845,-8.880938,4.1039069999999995,0.6839464005923829,-10.9328915,Bawang Putih
64,-15.9738655,-10.122522,5.8513435000000005,0.6336927026210406,-13.04819375,Bawang Putih
65,-15.583714,-9.162121,6.421593,0.5879292317607985,-12.3729175,Non Bawang Putih
66,-12.456729,-3.6373389,8.8193901,0.2919979153435866,-8.04703395,Non Bawang Putih
67,-11.038852,-0.8059566,10.2328954,0.07301090729362075,-5.9224043,Non Bawang Putih
68,-18.049595,-10.895882,7.153713,0.6036635171038464,-14.4727385,Non Bawang Putih
69,-13.3178215,-8.438396000000001,4.8794255,0.6336168419136718,-10.87810875,Bawang Putih
70,-15.155689,-7.384469,7.7712200000000005,0.48724073184663524,-11.270079,Bawang Putih
71,-11.972898,-8.268817,3.7040810000000004,0.6906278663695289,-10.1208575,Bawang Putih
72,-13.827001,-9.336983,4.490017999999999,0.6752717382460593,-11.581992,Non Bawang Putih
73,-15.388074,-9.122454,6.26562,0.5928262367337199,-12.255264,Non Bawang Putih
74,-7.6718307,-1.6397425,6.0320882000000005,0.21373549080012938,-4.6557866,Non Bawang Putih
75,-16.039492000000006,-8.515177,7.524315000000007,0.5308881977060119,-12.277334500000002,Bawang Putih
76,-6.4582334,-0.60321885,5.85501455,0.09340307366407662,-3.530726125,Non Bawang Putih
77,-13.782892000000002,-9.272238,4.510654000000002,0.6727353011254821,-11.527565000000001,Bawang Putih
78,-16.31447,-9.950699,6.363771,0.6099308773132073,-13.1325845,Non Bawang Putih
79,-18.102718,-7.114348,10.98837,0.3929988855817121,-12.608533,Non Bawang Putih
80,-12.209697,-8.880218,3.329479000000001,0.7273086301814041,-10.544957499999999,Bawang Putih
81,-12.028383,-9.818948,2.209434999999999,0.8163148779017098,-10.9236655,Bawang Putih
82,-15.411619,-6.6203494,8.7912696,0.42956871695309884,-11.0159842,Non Bawang Putih
83,-11.948069,-2.9578714,8.9901976,0.2475606225575028,-7.4529702,Non Bawang Putih
84,-16.384767999999998,-11.338936,5.045831999999997,0.692041291033233,-13.861851999999999,Non Bawang Putih
85,-15.517709,-9.203155,6.314553999999999,0.5930743384864351,-12.360432,Bawang Putih
86,-14.053401999999998,-9.521015,4.532386999999998,0.6774882693884371,-11.787208499999998,Bawang Putih
87,-14.32112,-6.2970433,8.0240767,0.43970327041460444,-10.30908165,Bawang Putih
88,-9.043649,1.0833841999999998,10.1270332,-0.11979502963903174,-3.9801324000000005,Non Bawang Putih
89,-5.1188593,1.4585306999999998,6.577389999999999,-0.2849327583588789,-1.8301642999999999,Non Bawang Putih
90,-15.650168,-8.690397,6.959771,0.5552909719563394,-12.1702825,Bawang Putih
91,-16.120216,-9.670425,6.449790999999999,0.5998942570000303,-12.8953205,Bawang Putih
92,-11.75121,2.3135145,14.0647245,-0.19687457717120194,-4.71884775,Non Bawang Putih
93,-13.954691,-10.81248,3.1422109999999996,0.7748276188989065,-12.3835855,Bawang Putih
94,-13.974894,-8.883617,5.091277000000002,0.6356840345264871,-11.4292555,Bawang Putih
95,-12.960543,-10.302065,2.658477999999999,0.7948791188764237,-11.631304,Bawang Putih
96,-4.228743,2.8425994,7.0713424,-0.672209070165768,-0.6930717999999998,Non Bawang Putih
