,VH,VV,Class
247,-11.827038,-6.7942100000000005,Bawang Putih
248,-12.882722,-3.7317755,Non Bawang Putih
249,-9.626899,-0.6717549,Non Bawang Putih
250,-15.106243,-8.49403,Non Bawang Putih
251,-15.622227,-9.379882,Bawang Putih
252,-14.7080965,-11.563578,Bawang Putih
253,-15.357646,-11.678247,Non Bawang Putih
254,-8.459776,-1.8230802,Non Bawang Putih
255,-13.702172,-9.038947,Bawang Putih
256,-7.6827817,-1.01201,Non Bawang Putih
257,-14.686355,-8.966199000000003,Non Bawang Putih
258,-11.548094,-7.223577499999998,Bawang Putih
259,-15.481742,-7.663783599999999,Bawang Putih
260,-14.804823,-7.9911775999999985,Non Bawang Putih
261,-15.888044,-8.30408,Non Bawang Putih
262,-15.305558,-10.346975,Non Bawang Putih
263,-14.920032999999998,-9.229106,Bawang Putih
264,-16.99271,-9.060046,Non Bawang Putih
265,-14.845356,-10.0618725,Bawang Putih
266,-16.202353,-9.716231,Non Bawang Putih
267,-15.200493,-8.086403,Bawang Putih
268,-13.878601000000002,-9.247171,Bawang Putih
269,-10.110766,-4.907570400000001,Non Bawang Putih
270,-11.667114,-9.924695,Bawang Putih
271,-8.369911,-2.8809643,Non Bawang Putih
272,-14.459226999999998,-7.5507717,Non Bawang Putih
273,-5.835401,-0.74447864,Non Bawang Putih
274,-0.30021775,6.0237813,Non Bawang Putih
275,-15.220251,-9.494858,Bawang Putih
276,-15.401349,-10.056398,Bawang Putih
277,-12.532092,-7.775369,Bawang Putih
278,-14.887988,-8.758344000000001,Non Bawang Putih
279,-9.293175,-4.155207,Non Bawang Putih
280,-15.175057,-8.580081,Bawang Putih
281,-14.469535999999998,-9.280426,Bawang Putih
282,-15.021643,-6.2170544,Bawang Putih
283,-15.495419,-9.111918,Bawang Putih
284,-10.793311,-4.484928599999999,Non Bawang Putih
285,-5.679763,0.11240157,Non Bawang Putih
286,-15.597837,-9.436676,Bawang Putih
287,-13.994067,-8.384446,Bawang Putih
288,-13.6494,-5.8601227,Bawang Putih
289,-14.1666155,-8.756414,Bawang Putih
290,-11.652172,-4.1039624,Non Bawang Putih
