,VH,VV,VV-VH,Class
364,-16.167185,-7.309584,8.857600999999999,Non Bawang Putih
365,-13.676792,-8.030669,5.646123000000001,Bawang Putih
366,-15.077258,-9.414132,5.663126,Non Bawang Putih
367,-12.420578,-7.5774937000000016,4.843084299999999,Bawang Putih
368,-14.330094,-7.9622803,6.367813700000001,Non Bawang Putih
369,-15.096120999999998,-9.637339,5.458781999999998,Non Bawang Putih
370,-14.794095,-6.9650087,7.8290863,Bawang Putih
371,-15.881572,-8.262008,7.6195640000000004,Bawang Putih
372,-9.890848,-0.6180079,9.2728401,Non Bawang Putih
373,-7.646754700000002,-3.1251483,4.521606400000001,Non Bawang Putih
374,-17.452848,-7.9938226,9.4590254,Non Bawang Putih
375,-14.184381,-8.033033,6.1513480000000005,Non Bawang Putih
376,-13.197439,-8.893791,4.303647999999999,Bawang Putih
377,-16.581284,-11.276248,5.305035999999999,Non Bawang Putih
378,-13.978616,-8.99078,4.987836,Bawang Putih
379,-6.649361999999999,-2.6472707000000004,4.002091299999998,Non Bawang Putih
380,-16.909195,-6.800252,10.108943,Bawang Putih
381,-10.1707945,-3.4844537000000004,6.686340799999999,Non Bawang Putih
382,-14.599464,-6.5742416,8.0252224,Bawang Putih
383,-16.047544,-9.186815,6.860728999999999,Non Bawang Putih
384,-8.641195,-2.5920490000000003,6.0491459999999995,Non Bawang Putih
385,-14.904958,-9.634542,5.270416000000001,Non Bawang Putih
386,-10.978453,-1.9877121,8.9907409,Non Bawang Putih
387,-11.522667,-2.4259264,9.0967406,Non Bawang Putih
388,-11.170204,-1.6727103,9.4974937,Non Bawang Putih
389,-14.027874,-9.644098,4.383776000000001,Bawang Putih
390,-13.389420499999998,-9.838262,3.551158499999998,Bawang Putih
391,-12.3939,-10.311003,2.082897000000001,Bawang Putih
392,-10.153642,0.04138079,10.19502279,Non Bawang Putih
393,-12.966024,-8.305616,4.660408,Bawang Putih
394,-17.22127,-12.218148,5.003122000000001,Non Bawang Putih
395,-11.878888,-5.8841095,5.9947785,Non Bawang Putih
396,-15.923873,-6.00336,9.920513,Bawang Putih
397,-13.27041,-8.201528999999999,5.068881000000001,Bawang Putih
398,-12.549258,-7.022434700000002,5.526823299999998,Bawang Putih
399,-16.381828,-6.669803599999999,9.7120244,Bawang Putih
400,-14.81644,-8.045653999999999,6.770786000000001,Non Bawang Putih
401,-12.880632,-8.983908999999997,3.8967230000000033,Bawang Putih
402,-6.8561034,-1.2442422,5.6118612,Non Bawang Putih
403,-14.686585999999998,-10.566965,4.119620999999999,Non Bawang Putih
404,-12.856208,-7.5340095,5.322198500000001,Bawang Putih
405,-13.834694,-9.240668,4.594026000000001,Bawang Putih
406,-12.508001,-9.255245,3.2527559999999998,Bawang Putih
407,-13.168060999999998,-8.862264,4.305796999999998,Bawang Putih
408,-14.290663,-8.377804,5.912859000000001,Bawang Putih
409,-7.89704,-1.5480393999999995,6.3490006,Non Bawang Putih
410,-16.431416,-8.415635,8.015780999999999,Bawang Putih
411,-15.391762,-10.741372,4.65039,Non Bawang Putih
412,-13.140538,-8.758491000000001,4.382046999999998,Bawang Putih
413,-14.929666500000002,-8.407053999999999,6.522612500000003,Bawang Putih
414,-11.441589,-4.056355,7.3852340000000005,Non Bawang Putih
415,-13.629651,-6.373522,7.2561290000000005,Bawang Putih
416,-14.365054,-10.265134,4.099920000000001,Bawang Putih
417,-17.913732999999993,-9.979934,7.933798999999993,Bawang Putih
418,-16.027493,-9.2775,6.749993,Non Bawang Putih
419,-9.45367,-3.4915516,5.9621184000000005,Non Bawang Putih
420,-13.9458885,-8.114658,5.8312305,Bawang Putih
421,-13.2104,-8.423664,4.786735999999999,Bawang Putih
422,-14.605663,-9.429781,5.175882,Bawang Putih
423,-10.921843,-2.256415,8.665428,Non Bawang Putih
424,-15.875163,-12.27622,3.5989430000000002,Non Bawang Putih
425,-15.142394,-10.377294,4.7651,Bawang Putih
426,-7.834421000000002,-2.8102653,5.0241557000000014,Non Bawang Putih
427,-12.2317505,-7.966892999999999,4.2648575000000015,Bawang Putih
428,-15.806948,-10.854622,4.952325999999999,Bawang Putih
429,-12.558043,-7.429225,5.128818,Bawang Putih
430,-10.800561,-2.2831638,8.5173972,Non Bawang Putih
431,-13.4025345,-4.274332,9.1282025,Bawang Putih
432,-13.615442000000002,-8.400818,5.214624000000002,Bawang Putih
433,-13.655673,-8.591931,5.0637419999999995,Non Bawang Putih
434,-16.616827,-9.089815,7.527012000000001,Bawang Putih
435,-14.161241,-7.9433546,6.2178864,Bawang Putih
436,-11.744144,-7.5087852,4.2353588,Bawang Putih
437,-14.445249,-8.864491000000003,5.580757999999998,Non Bawang Putih
438,-7.0676117,-0.4923661,6.5752456,Non Bawang Putih
439,-16.086796,-8.621138,7.4656579999999995,Non Bawang Putih
440,-13.582123,-6.829944599999998,6.752178400000001,Bawang Putih
441,-13.804479999999998,-9.927871,3.8766089999999984,Non Bawang Putih
442,-13.173676,-7.058038000000002,6.115637999999999,Bawang Putih
