;Nama;Tanggal;X;Y;Lon;Lat;Sigma0_VH_db;Sigma0_VV_db;Class
8209;pin_2323;250719;179,4903128;20,49879719;116,5411446;-8,36977414;-16,00269;-10,317481;Bawang Putih
8210;pin_6769;221119;132,5;36,5;116,5369954;-8,371290861;-15,609634;-8,487078;Non Bawang Putih
8211;pin_7272;221119;146,5;182,5;116,5386277;-8,384191615;-13,079678;0,41229725;Non Bawang Putih
8212;pin_3599;250719;243,5;84,5;116,5470096;-8,375276687;-13,337887;-5,150064;Bawang Putih
8213;pin_4896;221119;197,5567242;48,63509918;116,5428164;-8,372194773;-15,173165;-8,029461;Non Bawang Putih
8214;pin_60;250719;113,4903554;126,4988007;116,5355523;-8,379341163;-13,816969;-8,454733;Bawang Putih
8215;pin_4804;221119;184,5567394;45,63510106;116,5416517;-8,371963197;-16,47774;-8,902056;Non Bawang Putih
8216;pin_147;250719;128,4903435;35,4988006;116,5366462;-8,371237698;-13,5045595;-8,797806;Bawang Putih
8217;pin_8380;221119;119,5;106,5;116,5360239;-8,377528135;-17,329748;-9,459537;Non Bawang Putih
8218;pin_6251;221119;207,8707021;240,1906208;116,5442416;-8,389141734;-8,770524;-3,9038594;Non Bawang Putih
8219;pin_7054;221119;149,5;173,5;116,5388708;-8,383386175;-11,349055;-4,221113;Non Bawang Putih
8220;pin_1957;250719;108,4903575;102,4988013;116,5350438;-8,377227584;-15,078471;-10,083043;Bawang Putih
8221;pin_6091;221119;233,8706842;166,1906197;116,546359;-8,382515813;-8,516385;-1,7464848;Non Bawang Putih
8222;pin_2101;250719;162,4903222;0,49879858;116,539579;-8,368046654;-15,256695;-10,39685;Bawang Putih
8223;pin_4637;221119;188,5567339;34,63510072;116,5419785;-8,370977914;-14,834101;-10,141123;Non Bawang Putih
8224;pin_3039;250719;233,5;110,5;116,5461886;-8,377606961;-14,819239;-7,1410866;Bawang Putih
8225;pin_6046;221119;233,8706846;178,1906196;116,5463908;-8,383579149;-13,3938465;-4,203032;Non Bawang Putih
8226;pin_2433;250719;198,490302;34,49879571;116,5428722;-8,370964654;-13,587817;-8,776894;Bawang Putih
8227;pin_2936;250719;237,5;81,5;116,5464677;-8,375026678;-14,233327;-9,025271;Bawang Putih
8228;pin_6124;221119;233,8706843;169,1906197;116,5463669;-8,382781647;-8,009514;-5,186095;Non Bawang Putih
8229;pin_196;250719;136,4903419;130,4987991;116,5376095;-8,379634978;-15,470805;-8,036641;Bawang Putih
8230;pin_7596;221119;122,5;47,5;116,5361347;-8,372291963;-15,352218;-9,276584;Non Bawang Putih
8231;pin_1013;250719;131,4903418;38,49880036;116,5369211;-8,37149564;-14,173729;-9,128042;Bawang Putih
8232;pin_3187;250719;238,5;103,5;116,546615;-8,37697349;-14,81638;-8,537102;Bawang Putih
8233;pin_4654;221119;168,5567562;13,63510395;116,5401433;-8,369169733;-17,10691;-8,930919;Non Bawang Putih
8234;pin_2753;250719;233,5;62,5;116,5460615;-8,373353609;-16,347784;-9,5574255;Bawang Putih
8235;pin_8068;221119;109,5;81,5;116,5350679;-8,375339118;-16,495836;-5,8558326;Non Bawang Putih
